Tweet,Actual label,Predicted label
@aritra_mHere's my rating list to aid you  The 9 and 10 rated are best recommendations. http://tinyurl.com/d32nwp,1,1
@binaurally in paper form. Get ready for E-ink LOL. Kindle sucks &amp; I hear that you guys may lose Hedo,0,1
really wnts fernando torres to follow!,1,1
"someone help, why am i getting all these disgusting spam followers on twitter. i cant get rid of them either!",0,0
@NateEaton Hope you don't mind Nate I called you by your full name.,0,1
@AmandaWadsley what week do we go back on? :L LOVEEEE you too,1,1
Wow. I feel absolutely awful this morning. I've got the shakes and moving anything is painful. Swine Flu 2.0?,0,0
@starr11394  I wish! but no  btw sorry u cant go,0,0
summer office help arriving today ... now i can share the administrative stuff,1,1
"just got the most awesome massage by my friend Gina, I will surely miss that girl... goodbyes are sad...",0,0
"@xxkassyxx haha. well, unruly  and yes, tixs and concerts and driving places! yay!",1,1
have HUGE blisters on both my feet,0,0
Tuesday - Hollywood Wednesday - Birffday Thursday - daddy comes home  Friday - Palm Springs Yaaaay =D,1,0
@myfabolouslife i wish i was n miami for memorial day weekend!,0,1
at work worrying about tuffy.,0,0
leaving seattle,0,0
"@keovani Happy Birthday to u, happy birthday to u, happy birthday to my Bestie, Happy birthday to Uuuuuuu...",1,1
wants to skate but it's rainy,0,0
Just cracked a twin egg while making brownies,0,1
#faibw  The Nightrats Chiffon Daydream (you won't be able to stop following  Ã¢â¢Â« http://blip.fm/~7jshs,1,1
so many things I can do now since school is over...,1,0
No callback yet.,0,0
"my mp3 player won't turn on  Karma, you are a hoebag.",0,0
I need a real female don't seem 2 be any left around,0,0
@Ingrid_LP maybe on facebook  but i don't promise! lol ;) i'm online at the mo! xx,1,1
@spazzynas Me too hun  Hope your day today is better! Miss you!,0,1
"visited cousins, inc... thanks for the pastries!",1,1
dinner w dad...yummy  n he totes understanding naow! offf to st lolol to habgz for a bit bleh,1,1
@Honeedipps Yeah. I gotta be up at 7am for my boxing class.,0,0
@IBITF You should make a new account on TA. It's getting lonely without you.,0,1
"@tommcfly TOOOOOOM. Did you even read @buonotomato's, @bluejeriblue's and my tweets?  Sent you soooo much.",0,1
@MizFitOnline are you there?  Good Morning!,1,1
Want your dreams and nightmares analyzed? follow @jackimari and ask.  She is amazing and insightful. I just twittered her my nightmare.,0,0
Abdelkader! #GoWings! This kid is playing out out of his mind!,1,0
"I wished for you and now I'm going to bed,  GOODNITE.",1,0
@smartassredhead omg I had that exact door mat! I had to get rid of it when you couldn't read it anymore.,0,0
in the mean time....whoooosaaaa...enjoying the wheater,1,1
Watched beatles anthology all night at work... When does that new rock band come out? I can't wait,1,0
"@ProWrestler1 God, now I have to walk the dog.  I hate it, kills my shoulder. I'll be back in a few.",0,0
Textn Da Hubby and He So Very Seksii,1,0
Happy Saturday.... It's papa &amp; @veddegre are building a deck day &amp; going to see my new nephew day!!!!  YAY  Heather comes home tomorrow.,1,1
@pumpupositive No seems like to have weight loss I have to eat 3-4 pts under daily targets no APs and no WP! Very hard and discouraging,0,0
Final day 2day,1,1
@kiarapop  well count sheep bitch. haha im waiting to brush my teeth &gt;_&lt;,0,1
"Watching fist of Zen! Had the laziest day, done nothing but watch movies and eat BK. Back to Uni tomoro",0,1
@she_shines92 Have fun!  All will be well,1,1
HAPPY GRADUATION DAY TO MY BESTIE!!!! LOVE YA AND CONGRATS!!!! I'M SO SO PROUD!!,1,1
@kodyy that was red carpet,0,1
@saykendrawithme I have school anyway BUT I will prob cry if you dont too lmao,0,0
"Napping with cam bam, who fell asleep holding the car Elin made him   #fb",1,1
@marco_cali I work on a helpdesk. I'd normally be on at 3 today but got a concert later. No chance of a half day either,0,0
and a third when i pressed the ctrl key,0,0
"megan, you should blog about that",1,1
I love that Hugh Laurie is a trending topic.,1,1
"@secretplanet well yes @applecored was nagging me and well, how could I not...anyhoo sorry for the visage try and keep dinner down",1,0
"you shine so bright it's insane, you put the sun to shame",1,0
"@AMomTwoBoys aw man, now I'm homesick for South Africa!",0,0
Just came back from school  Awesome day today :-bd,1,1
Having coffee in the sunshine and catching up with zoe,1,1
@greatfitness Thanks for the mention!,1,1
"@damnredhead That, and it makes me feel better  There, I said it!",1,0
s*** ( sorry)..no need to rewrite my tweet so...,0,0
@tommcfly OMG! Really? Can't believe i didn't saw that.  That must've been great... I hope that someone put a video on youtube soon!,0,1
this is where i will spend my days: http://www.janaagraha.org/,1,1
@dewereldvanikki you are now following @chrisdjstapper,1,1
Aside: I can't believe this book is using COMIC FUCKING SANS. I'm pretty sure I expressly warned them against it.    Not my fault!,0,0
"@pxieVAMPIREdust no it's alright, the game seems to be fun",1,1
im hungry and i wanna eatttttt..but every stall has such long queues  - http://tweet.sg,0,1
@PrettyModern She was beautiful  I have 5 chis,1,0
@abstractmina MARINA! Don't feel lonely!  How can I help?,0,1
so sleepy... but I have a bunch of work to do,0,0
I left my room and my learning event is done!!so now I have to say bye to Oslo,0,0
ppl were totally doing &quot;photo shoots&quot; with &quot;models&quot; at twin falls today.  i gotta &quot;card&quot; from a scary man who does &quot;underwater photog&quot;,0,1
Pins in my hand for the lose.,0,0
Back in da city  means back to work tomorrow  although I have shot nearly 4 rolls on the fisheye,0,0
@pmol Just like any other weekend... awesome!!,1,1
@Lindsaypaix he won't hug me! Ever! After all i do for him,0,0
@KeysDAN  that was definitley a classic,1,1
haha not that kinda ram and this girl was fat and ur not fat so ha but sure ill ram u again  i like weed lol sorry bout that last one,1,0
I GOT THE FORM! Going to school now...,0,1
Had an totally awesome session at Tempe Town Lake!!! Can't wait to share Dianna &amp; Alex's pics!,1,1
"@edwardsheroin 27 mins, EEEP!!! I'm not allowed in there till 7 tho?  No can has chats?",0,0
@urshinningstar Anytime,1,1
"And yet, a nice thunderstorm to help me sleep  darn you weatherman!!",1,0
@LadyRedCrest GA i am arriving @ 5:12pm  Taylor is still picking me up yes?,1,1
@swear_bot An y the fuck wud I do such bullshit???,1,0
no TR!! Say it ain't so! I'll miss you George,0,0
playingg halo 2  and just had a boxing match with a hunter on the game.,1,1
@doughbee LMAO! fun times  Le-et it groooooooow. Come over heeeere And help me trim my eeeenddds.,0,1
I'm really sad about Farrah  I HATE cancer! I wish we could find something to BEAT that disease!,0,0
I stayed up all night to watch my son on So You Think You Can Dance and they didnt get to our city!,0,0
"@_Daniellaaa, summer with you is going to be amazing, but im gonna miss you if you are in greece!",0,1
Ã¯Â¿Â½Get me a beer woman!Ã¯Â¿Â½ http://tinyurl.com/decmn9 One crazy photo / goodnite tweeps,1,1
Sleepingggg  Happy Birthday Michelle Saavedra I freaking love you &lt;33,1,1
so im bored and hungry now.. and its really hot in this housee. like wow. ughh..  what to do now. i think im going to go eat.,1,0
"well im gna grab summit to eat, last revises and off! i have no internet or credit in &quot;new&quot; phone! :o  sony erricson k610i for now lmao",0,0
@skulpa Awww!!!  Boooo!  Stupid rain.  Much rather watch the tourney...   At least have a nice cuppa joe or something?,0,1
@haneeys okies thanks!!,1,1
Nothing like being micromanaged from 559 km away.,1,0
@FoxxFiles oh yes they were   http://bit.ly/Lub84,1,1
"Making plans for tomorrow, want to be included?",1,1
Sitting at work confused as hell...don't know what to do. My heart is so torn!,0,0
@theteganandsara good to see you have twitter,1,1
"Peas in the pod are back!!  I love them but they are so expensive.  ÃÂ£1.50 a bag  Yes that's right, one pound &amp; fifty pence for ..... peas",1,1
"Happy Mothers Day to all Mothers in America, our mothers day was in march, but I've decided to be extra nice today because i love my mum!",1,1
@CandiceRenae i know..i apologize - zebo wanted to keep it low key so i couldnt head out there...it sounded so fun...  raincheck?,0,1
like why the fuck am i still up...maybe because im drunk as hell and had a great time tonight..shit was crazy,1,0
Booked my flight home!,1,0
@emilio_delgado i feel like @jpcashcash pwnd you again.,1,1
"I love Linkin Park, My Chemical Romance, Jet Black Stare, Sum 41, Green Day  --&gt; real rock band :X",1,1
@cheribeli the weekend is soooo far away,0,0
It's so great that loip has visitors from Twitter! We got some surprise progress in new visitors &amp; National Call your mother's day event!,1,1
@judez_xo well thats not fair. Ive wanted them since I was twelve. haha.  Like back when you could only really get surface piercings lol,0,0
"Thanks everyone, btw, for the #spymaster invitations, but I like to keep work and twitter separate.",1,1
@hyunjoongkim do you like white colour?,1,1
New shoes for Tim  - http://mobypicture.com/?ezqc0c,1,1
"still up!this sounds really weird,but im not tired, sooooo yea",1,0
@Pepsimo Our back garden is gr8..sun all day till bout 9.30!!! I love sitting out and chillin with the music on when kids in bed..bliss!,1,1
@Harrygep I had both my windows open last night. Got it down to around 15 degrees. Was bliss,1,0
Got tooth ache. Think my wisdom tooth is coming through,0,0
Chillin on this beautiful humid night.,1,0
@jhevonparis hope u have a good day too!,1,1
@ask_tuaw AAPL says very firmly that my iPhone 3G S will come on friday even though UPS says on the 22nd. Who am I to believe????,0,0
bad dreams are no fun,0,0
@deviantradio lol can't fault me for researching worthless information.,1,0
"@Dannymcfly Hey Danny, what's your favorite Death cab For Cutie song?  Xx",1,1
"@ddlovato hi demi, i love your songs..",1,1
is tired  but one more left and then it is officially summer 09!,0,1
"@MiniDave Ã¯Â¿Â½5 lol it ends in 4 days but i've set up a thing so my bids goes in two seconds before it ends, so I should win",1,0
@theDebbyRyan haha its well hot ere isint too nice there then ?  x,1,1
Ikea furniture is great! I just wish the product on display could be bought as is. It can be a real hassle to put some things together!,0,1
Some amazing news for 5yac!! Im so stoked follow me to see what comes next  be ready,1,1
@mari_possa I know  thanks boo,0,1
@shut_up_mike Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,1,1
@cessii  I can't wait,0,0
wet again  grrr,0,0
"Got caught up answering stuff in Yahoo!Answers.Hmm,my apologies twitterverse!!Lots to do 2mrw  So goodnight.",0,1
"#Tweetdeck just crashed  back to faithful Tweetie - loving the copy/paste and updated SMS, much better!",0,1
will see al in half n hour,1,0
@310chelle Isn't that the truth?? It's actually truly sad. I used to BE one of those people...but I'm doing much better!,1,0
Am finally going to settle down tonight with a beer and create the Duct Tape Wallett I've had since Christmas. Fitting end to week,1,0
the one game we have to win in the WHOLE tournament so far is the only one we lose. for crying out loud,0,0
i wish i could be in the chat..  http://tinyurl.com/nl7bex,0,1
my arm hurts,0,0
Soooo me and adam are bored now cause my love is gone.,0,0
Monday is over!  Good morning everybody!,1,1
"film not on till 7:45, will have to hold out for 2 hours, i'll fix some tea and then go to pops for an hour",0,0
"setting business hours! 8am - 6pm, rush jobs will still be considered, but not the norm",1,0
@alpcoterie That they're totally over?,0,0
F!@$$ Changed motherboard and the notebook worked for 10 minutes and Crashes and crashes I don't know what's wrong,0,0
just woke up. last night i figured out it was just a break. so feeling better. gettin him back soooooooooooon I HOPE!,1,1
"@Morrica Yes you have, thank you!",1,1
@tonyhawk give away 2 what? wow what kind of stuff am i missing....,0,0
Check out http://www.twitterbackgrounds.com/,1,1
@johnsonCAB I can't believe Ian isn't in the band anymore!,0,0
@tardate thanks for the retweet,1,1
i miss my boyfriend? oweh,0,0
Had a fantastic day at Rally of Whangerei - and even saw some real life rally action!,1,1
So far fenugreek not working. 2.5 oz this morning. I was hoping for a million.,0,0
liz.  C says she's a good healer but she really stunk in VH.,0,0
@mymemoirs i love being on twitter now because i can stare at that picture of brett the whole time... is it love...,1,1
Euro Countdown: 5 days! GUESS from 1 to 8...no bike race for me,0,0
hello chicago mornings.  I hate that I'm still sick   but I'm still going to Shedd's Aquarium.  Take that!,0,0
"@Shindig90 I thought the first series of the US Office was rubbish, exact copy of s1 uk office. However! It gets amazing after that",1,1
"Jumping on my motorbike off to the Farmers Market, what a beautiful day, I wish you all a beautiful day",1,1
"PHONE DOESNT WORK! &gt;:[ I cannot even call people, we were stranded last night for 4 hours!! I have no time to BLOG!! Ughhhhhhhhh.",0,0
@germancastillo Vaya no puedo ver el video me sale &quot; This video is not available in your country due to copyright restrictions. &quot; MY IP,0,0
@CASizemore Note to self: Don't tweet about smacking your computer,1,1
@LizGmaz We need to vote that the district cannot not let us vote if the district will let us vote on that,0,0
@abstanfield Beet greens ROCK!  They're my favorite. Glad you liked my recipe!,1,1
Goin home. Phones dieng didn't tlk to my babe,0,0
"@hellensales yes,was a amazing show",1,1
Im woke yet im so very tired,0,0
I keep Sleeping in thanks to being my own boss  I would get the boot on my old job,1,0
back in freswack.....,0,0
my brother has a cast and he won't let me sign it,0,0
Preparing to start my visit to US - great things are in the offing,1,1
And lazy boyfriend is just lying in bed with his sleepy head. Awwwww,1,0
@chris_brawl @emma_on_toast Shot down in the prime of life.  May he rest in peace,0,1
@imtheirmama DUH! He hurts my feelings......,0,0
@iViva I don't like the new make-over of X-factor at all.  It's going to be all like BGT. Why change something that aint broke?!,0,0
@Silkglove yep!! My littleuns coming up for 10 and she just doesn't stop!!,1,0
@AdisaEkua Awww! U have my pic up! That makes me smile.,1,1
Can I go home now?,0,0
@JollyGreenGirl  the bigger question is how much do men consume...,0,1
nooo. that wasn't supposed to be sent.,0,0
@GDuffOnline Thanks babe. Hitting the station 2day. Go drop some bangas.,1,1
@pay4this  I hope you tried to barrel through the body guards to touch him. Or at least took a picture.,1,1
"alright, its 2 30am imma call it a night, night peeeeps. Tweet ya tomorrow. i thinnk imma dye my hair. what color? idkkkk. we'll seee.  &lt;3",1,0
"Don't be emotional Leah, you hate the douche nozzles smart one!!!!! Rose is so stubborn!!!!!!!! God, Help us!!!!!!!!!!!",0,0
@mileycyrus http://twitpic.com/6dvj4 - you look graet miley i hope you had very fun,1,1
@Oedipus_Lex ha! Just about perfect,1,1
going to bed! early day tomorrow!,1,1
I want a new phone  I've seen too much cellphone commercials (,0,0
on the last 3 squares on a Rubik's cube  how do you work out which ways to turn or is it just trial and error? help me before I go mental,0,0
@JENNY_WiN me too! My ipod touch got stolen a month ago,0,0
In work. Lunch cancelled. Boss not in. More time to prepare presentation,1,0
"Just saw a contest on Elizabeth Scott's page. ARC of a couple books and a bunch of others. Have her Something, Maybe on to-read list now",1,1
@HeathMissen i'm sending you a book instead  i know another great one but the bookstore closed early for stocktake today.. Argh,1,1
mmm I am sooo happy  &amp; wooow it's hot!! can't sleep :S,1,0
@oridusartic oops! Okeh. They have other version as well? I didn't know that   http://myloc.me/15tT,1,0
elijah's feeling a little better now (after puking at dinner). just say a prayer for him if u would. thanks.,1,1
Fontswap not swaping fonts with OS3.0,0,0
fuck it,1,0
"@ChrissyC84 it wasn't. 2/3 days the plumber was in my apt. so I had no peace, no quiet, and not too much rest",0,0
@gone2dmb @pieshopgirl @mandadmb Hi ladies! Sick day,0,1
"@DadBlogs I love the name and your blog, I will be telling my Dad about you all, he blogs about his passion - formula 1",1,1
All the kids are sleeping.  Going 2 watch a movie with my hubby!,1,1
"@iamsuperbianca I know, I feel so sluggish today!",0,0
"@jbillingsley Great idea, but why wait until the cart?  PurchLive solves that problem at the right place and the right time",1,1
People make me sad,0,0
"Damnit! Laundry refuses to self fold, wife home in 1hr, time to go fold",0,0
OH: TODAY I forgot ALL my literature for my research essay @home! FML  http://tinyurl.com/komdmd,1,1
@Kaiser_Chiefs Hahaa I know! And we'l probs be losing Beckford! At least were keeping Richardson though!,1,1
"@paulloveslimes Lol, call me when you crack, those are the best phone calls",1,1
@aubreyanne NICE!!! I wouldve booked u too.  good luck n enjoy the festivities! HELLA FRESH!,1,1
Not a huge Jack State fan,0,0
@Apuje that wasn't the deal!!!,0,0
The girls left.  this is harder than i thought.,0,0
Work Soon   Need To Get Ready Now! Cant Wait To See Timothy Tomoro  xx,0,1
"@sushmits @suddentwilight rajasthan toh yaheen hai, why wait for dec?  let's go!",1,1
@ItsGirlFriday I know u meant 8350 so I'll say thanks doll!,1,1
@ijustine Haven't head any bad feedback about it yet,1,1
work work work free lunch starts tomorrow....guess im not having lunch today,0,0
Trinabobby123:@bridgettesharp  @Katelyndior you gals are funny  luvs,1,1
Where are all my tweeps? Is that what you guys are called? Tweeps? I'm stuck in traffic and need something to do but noone is tweeting.,0,0
Trey songz was at hav a nice day cafe last night. And i didnt kno till today....,0,0
We just drove past a chinese couple on they motorcycles.... The first thing that came 2 mind was Fast N Furious,1,0
"@hexachordal a mini food court =D , so much choice",1,1
"@janinaz I remember when I was called.. I *wanted* to be in a jury. I got selected, then the case got delayed, so they let me go.",0,0
"apparently, eye shadow can go bad. oy...   I used a several years old one and now my eyelid is hurting. ouch...",0,0
Cooking cinnamon rolls and generally enjoying the day! Have a good Sunday tweeps!,1,1
"@taylorlehman But I can still get my cashback  I'm happy, whatever they call it.",1,0
@Emaaa_ because i love them with all my heart. mark owen has been my favourite little hobbit since i was 3,1,1
Ahhhh finally its time tpo go home,1,1
@adiemer -HI! I'm meeting @chrisrow at the Spann wedding!  You better save me a dance! Can't wait to see you in a tux!,1,1
"Bought potted flowers for my, &amp; JPs mom. Now I wish I had a yard so I could buy myself a bunch! I miss flower gardening terribly bad",0,0
"So my bro is pissed at me, and LITERALLY just melted my skin with a hot fork",0,0
BEYONCE was amazin!!!! super talented n super hot,1,1
@classymars  u kno the deallll,1,1
excited for prom,1,1
"UGH she is such a betch. GTFO my life, s'il vous plait. I am making an amazing playlist.  And, to YOU! You know who you are. Stop it. Now.",1,1
@SurreySteve i dont do cars only computers's  off to see a very nice man in a garage,0,0
... i'm queing again,0,0
At times like these I wish that I had someone just to hold me,0,0
@ExMi Morning   Was great to finally meet you!,1,1
@tommcfly i hope you play the heart never lies on saturday,1,1
"@kxtcd950 me either bro lol, right lunchtime, off to buy eminem album and have a sneaky pint! See y'all on the flipside!",1,1
@calbo oh i am a late comer too ... havent started yet,1,1
Yesterday was amazing on the water and the sun did come out for a visit. Enjoy today next 5 days RAIN in NYC,0,1
"I'm awake, but not for long! Mondays are my Saturday. Hubby has to work today though, so I got up to make his lunch",1,0
#liesgirlstell I don't have any money ----with this face,0,0
@ishanney yeah girl,1,1
just got out of the shower. 9 more days of school !!!! cant wait for this summer,1,0
@Wisegirl892  Don't know what all happened but I'm sorry.,0,0
@zennish OH - sorry on my phone it looked like it was a tweet LOLOLOL. My bad.,0,0
Still not home  the train was cancelled and the bus dunt leave till 6  poo,0,0
"@fistynuts depends on the terminals - some are joined, for those that aren't if you're staying airside it's just the bus I think.",0,0
home sick  should catch up on an assignment!,0,1
Gossip Girl and 90210 today!  dont forget to watch it,1,1
I found 1 friend!!!  YAY!!!!,1,1
@OrangeFu yum! Share?,1,1
"Headed to wk, don't want to...I'd rather be at home",0,0
"omggg i loved Fly with me (L) *-*, that song, i don't know why xd, but made me wanna cry *u*, is that is so beautiful (L) haha",1,0
@howlertwit Jesus....  whatever next!  Get a pic of your face on there!!,1,1
"Is about to leave relay for life! I feel like I've honored my gma, aunt and mom by walking 4 them as cancer survivors!",1,1
@Samiikinz15 dang im sorry i dont check twitter alot!! were you on?!,0,1
"Right, time for a shower because I totally stink!  I'll be back soon smelling of sweet roses  in a bit cock's xx",1,0
@AngelaKeen Yeah I think I probably seen you on TV. I had done some judging as well. Probably before your time.  Enjoy your Sunday!,1,1
looking after a sick little girl,0,0
Kids Bowl Free All Summer  http://tinyurl.com/djgltn  Now THAT's cheap entertainment!   What will you buy with the $$$ you save?,1,1
@itune_forks FACEBOOK,1,1
I wish I had more Hot Pockets.,0,0
going to bingo tonight bbl ev1,1,1
@bioncaaa hot pink like meeee,1,1
Shaved his hair off  urgh got work in abit.,1,0
@sytheveenje boks ouwe,0,1
@siimpLybeautii gotta kiss a very frogs,0,1
"having dinner at the keg (fave!), cup cakes for the step mama's bday and then going to see the hangover",1,1
Aw this morning isn't the same without a phone call from him  Gooodmorning twwwitums,0,0
"@1938media ah, my mistake - i didn't know there was a difference",1,0
Iphone 3.0 is unlockable good work dev team,1,1
"@5ftnthn REAAAALLLLYYYY!!! I have the 16G, I think the 8G is only $99 now.  I paid $699 for mine on 12/29",0,0
"Way too much Stargate last night. 3-hour drive today, 3 hours tomorrow, and 1 hour Sunday. I wanted rest",0,0
"@marks Must feel good about themselves... Masking their faces, beating up a handcuffed guy  The world can be such a sad place",0,0
is about to go down to Bristol Design Festival in the sun   #bdf09,1,1
@alliepawell wow.... now i know what you guys think of me  haha Blue,0,1
In a meeting until 5pm  wondering when I'm meant to fit in my day job!,0,0
that was productive: i met someone on @gaycom that is gonna cut my hair and hes totally cute  and 2) i found my old coworker JC,1,1
sometimes love comes around and it knocks yu down just get back up when it knocks yu down..,1,0
So bored. Cant sleep. Cant get up,0,0
@VeronicaATL thanks vero &lt;33 ily too I'm just down tonight I'll stop sounding so down soon it was just...a bad night  irl I mean :-/,0,0
I want to see my username next to the Yipee! at #squarespace this time.,1,0
At a mates.. We're just txting boys (same one actually lol) &amp;&amp; my phones dying.,0,0
need gallons of coffe  another sleepless night,0,0
Poor puppy got flushed down toilet by lil boy who thought he was dirty  http://ekey.us/x6Zp6 (he survived though ),0,0
Sitting in the rainy cold stadium for boston college graduation in nothing but a thin mini dress with estherpark.,0,0
going out to eat dinner,1,1
"@mlibrarianus Thanks, we had a good turn-out. Lori and I duked it out afterwards as well.",1,1
Posted 1st Etsy Artist Feature: http://jenellsjewelryblog.blogspot.com/ Need more followers!,1,1
http://twitpic.com/8dsdg - my booooys,0,1
My favorite baby girl name is Berkley and hubs DOES NOT like it.    I get mixed reactions of others like it.,0,0
Givin up hope of makin it to the beach this summah,0,1
Desperately lost for my shuffle. Hate running with my iPhone in my hand.,0,0
- time to fly,1,1
"On my way home now, suffered one injury helping pack up the marquee",0,0
I think the studio in Paterson is R.I.P. Tonight.  lots of good times there.,0,0
@RachhhTGP meeee??? what about youuuu?  I misss youuuuu,0,0
"Everytime I tweet, I look at how horribly cracked my screen is",0,0
Uh...it is nice in here!,1,1
@David_N_Wilson Yay!!,1,1
"WTF is up with the weather? can i get some late Spring/Summer sun and heat please? and this humidity shit, my body hates it. i miss Miami",0,0
"Saturday night with the bros. Love being the only girl in the room, despite all the bullies",1,1
I love our cast!!!!! I am gonna miss these times,0,0
@Mayeh why are you disappointed?,0,0
@oooweeeitsjaeL Just wanted to say heY to my Bud ....Yamie Ur the cooleSt,1,1
"@DuckDd yup im an early bird today,its ma bday nd im happy",1,1
"@doggsy Hi Doggs, Sorry I couldn't help today, I'm bussing into work so I'm rushing around and will be surrounded by bus noises soon",0,0
can't go to bed  An am sooooo tired!!!,0,0
@scotjarrett happy belated Ruby day,1,1
I just preordered Sims 3. There will be a @0snap and a @lirpaM sim. Especially now that you can make them evil and crazy.,1,1
Still snowing outside   Heading downtown today anyways,0,0
SCIENCE GCSE IN 6DAYS EEEEEKKKK,0,0
@tyronevh Next time  I loved it.  I am a Flat Stanley groupie... the poor guys have me following them around wherever they go!,1,0
@tharealNova yes sir,1,1
"One more thing, Twitter! @shayimani also said &quot;GO MAGIC&quot; and her prediction is that the MAGIC are winning the championship! I &lt;3 her!",1,1
my mace is here,1,0
@baileyboo93 its at epicentre june 13th! its gonna be a dooope show!! you shud come,1,1
Thank you to @Gelsomino @Highena @DJRoniB @tubilino @BigAssBadgerBeats @jTerrell @sansotto  ? http://blip.fm/~7dfed,1,1
stillll driving home...i'm so hungry!,0,0
"@MandyPandy32 Morning, and well done! just been looking at your pics you did a wonderful thing. When's the next one then  Enjoy your rest",1,1
"Hey cool, the DW got accepted into SACAP (SA College of Applied Psychology), so going back to school for her from next month.",1,1
@JustCindy_  Comment ca ??,0,1
maybe it's because our conversations are always like yeah im great hbu? haha shit FML i need t talk more to the people i like!  hahaha,0,0
just dropped shelley at the airport,0,0
